Summary,Issue key,Issue id,Issue Type,Status,,Project name,Project type,Project lead id,Project description,Priority,Assignee,Reporter,Creator,Created,Completed ,Due date,Watchers
API + UI+ DB for R3b Reversal screen,KAN-116,11202,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,19-06-2026 17:27,09-07-2026 11:11,,CTD
API | sector outlier,KAN-113,11199,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,19-06-2026 17:27,09-07-2026 11:11,,CTD
UI | Sector outlier,KAN-114,11200,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,,CTD,CTD,12-06-2026 18:56,09-07-2026 12:47,,CTD
dB | Sector outlier,KAN-115,11201,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,10-06-2026 11:34,13-07-2026 13:04,10-06-2026 00:00,CTD
UI changes in Non-Filer to make it more intutive and detailed.,KAN-101,11027,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 12:00,21-07-2026 12:00,,CTD
Statis query bug: Create new Query from UI and execute was failing,KAN-108,11130,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 10:41,21-07-2026 14:14,,CTD
GSTR3B raw table to have optimized table and review with jitu ji,KAN-107,11129,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,21-07-2026 10:33,21-07-2026 14:14,20-07-2026 00:00,CTD
Sector mapping for all GSTIN. Createlogic from Anant,KAN-73,10743,Story,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,14-07-2026 13:23,21-07-2026 14:14,14-07-2026 00:00,CTD
GET Data of registration (3 API) for java Utility (auto-sync). Also create scheduler to get the 3 steps running.,KAN-56,10502,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,15-07-2026 14:11,21-07-2026 14:14,14-07-2026 00:00,CTD
"Create scheduler for calling the returns api , first do for GSTR3B.",KAN-59,10505,Feature,Done,,RAID (Nexus),software,712020:6b1dc972-2ab3-4e43-a495-1fa57e003a62,,Medium,sanjaygirictd,CTD,CTD,16-07-2026 14:36,21-07-2026 14:14,14-07-2026 00:00,CTD
