"ZONE_CODE","CIRCLE_CODE","WARD_CODE","ZONE_NAME","CIRCLE_NAME","WARD_NAME"
RJZ001,RJC007,RJ313,Ajmer,Circle-A Ajmer,"Circle-A, Ajmer - Ward-I"
RJZ001,RJC007,RJ314,Ajmer,Circle-A Ajmer,"Circle-A, Ajmer - Ward-II"
RJZ001,RJC007,RJ492,Ajmer,Circle-A Ajmer,"Circle-A, Ajmer, AC / CTO Ward"
RJZ001,RJC008,RJ316,Ajmer,Circle-A Beawar,"Circle-A, Beawar - Ward-I"
RJZ001,RJC008,RJ317,Ajmer,Circle-A Beawar,"Circle-A, Beawar - Ward-II"
RJZ001,RJC008,RJ494,Ajmer,Circle-A Beawar,"Circle-A, Beawar, AC / CTO Ward"
RJZ001,RJC009,RJ318,Ajmer,Circle-B Ajmer,"Circle-B, Ajmer - Ward-I"
RJZ001,RJC009,RJ319,Ajmer,Circle-B Ajmer,"Circle-B, Ajmer - Ward-II"
RJZ001,RJC009,RJ493,Ajmer,Circle-B Ajmer,"Circle-B, Ajmer, AC / CTO Ward"
RJZ001,RJC010,RJ321,Ajmer,Circle-B Beawar,"Circle-B, Beawar - Ward-I Headquarter, Kekri"
RJZ001,RJC010,RJ322,Ajmer,Circle-B Beawar,"Circle-B, Beawar - Ward-II Headquarter, Vijaynagar"
RJZ001,RJC010,RJ323,Ajmer,Circle-B Beawar,"Circle-B, Beawar - Ward-III"
RJZ001,RJC010,RJ495,Ajmer,Circle-B Beawar,"Circle-B, Beawar, AC / CTO Ward"
RJZ001,RJC175,RJ651,Ajmer,Circle-C Ajmer,"Circle-C, Ajmer - Ward-I"
RJZ001,RJC175,RJ652,Ajmer,Circle-C Ajmer,"Circle-C, Ajmer - Ward-II"
RJZ001,RJC175,RJ650,Ajmer,Circle-C Ajmer,"Circle-C, Ajmer, AC / CTO Ward"
RJZ001,RJC001,RJ007,Ajmer,Circle-Kishangarh,Circle - Kishangarh - Ward-I
RJZ001,RJC001,RJ008,Ajmer,Circle-Kishangarh,Circle - Kishangarh - Ward-II
RJZ001,RJC001,RJ009,Ajmer,Circle-Kishangarh,Circle - Kishangarh - Ward-III
RJZ001,RJC001,RJ010,Ajmer,Circle-Kishangarh,Circle - Kishangarh - Ward-IV
RJZ001,RJC001,RJ011,Ajmer,Circle-Kishangarh,Circle - Kishangarh - Ward-V
RJZ001,RJC001,RJ496,Ajmer,Circle-Kishangarh,"Circle - Kishangarh, AC / CTO Ward"
RJZ001,RJC002,RJ014,Ajmer,Circle-Makrana,Circle - Makrana - Ward-I
RJZ001,RJC002,RJ015,Ajmer,Circle-Makrana,Circle - Makrana - Ward-II
RJZ001,RJC002,RJ016,Ajmer,Circle-Makrana,Circle - Makrana - Ward-III
RJZ001,RJC002,RJ017,Ajmer,Circle-Makrana,Circle - Makrana - Ward-IV
RJZ001,RJC002,RJ497,Ajmer,Circle-Makrana,"Circle - Makrana, AC / CTO Ward"
RJZ001,RJC003,RJ020,Ajmer,Circle-Merta City,Circle - Merta City - Ward-I
RJZ001,RJC003,RJ021,Ajmer,Circle-Merta City,Circle - Merta City - Ward-II
RJZ001,RJC003,RJ499,Ajmer,Circle-Merta City,"Circle - Merta City, AC / CTO Ward"
RJZ001,RJC004,RJ022,Ajmer,Circle-Nagaur,Circle - Nagaur - Ward-I
RJZ001,RJC004,RJ023,Ajmer,Circle-Nagaur,Circle - Nagaur - Ward-II
RJZ001,RJC004,RJ024,Ajmer,Circle-Nagaur,Circle - Nagaur - Ward-III
RJZ001,RJC004,RJ025,Ajmer,Circle-Nagaur,Circle - Nagaur - Ward-IV
RJZ001,RJC004,RJ498,Ajmer,Circle-Nagaur,"Circle - Nagaur, AC / CTO Ward"
RJZ002,RJC014,RJ001,Alwar,Circle-A Alwar,"Circle - A, Alwar - Ward-I"
RJZ002,RJC014,RJ002,Alwar,Circle-A Alwar,"Circle - A, Alwar - Ward-II"
RJZ002,RJC014,RJ003,Alwar,Circle-A Alwar,"Circle - A, Alwar - Ward-III"
RJZ002,RJC014,RJ500,Alwar,Circle-A Alwar,"Circle - A, Alwar, AC / CTO Ward"
RJZ002,RJC019,RJ096,Alwar,Circle-B Alwar,"Circle-B, Alwar - Ward-I"
RJZ002,RJC019,RJ097,Alwar,Circle-B Alwar,"Circle-B, Alwar - Ward-II"
RJZ002,RJC019,RJ099,Alwar,Circle-B Alwar,"Circle-B, Alwar - Ward-III Headquarter, Khairthal"
RJZ002,RJC019,RJ501,Alwar,Circle-B Alwar,"Circle-B, Alwar, AC / CTO Ward"
RJZ002,RJC176,RJ654,Alwar,Circle-C Alwar,"Circle-C, Alwar - Ward-I"
RJZ002,RJC176,RJ655,Alwar,Circle-C Alwar,"Circle-C, Alwar - Ward-II"
RJZ002,RJC176,RJ656,Alwar,Circle-C Alwar,"Circle-C, Alwar - Ward-Iii"
RJZ002,RJC176,RJ653,Alwar,Circle-C Alwar,"Circle-C, Alwar, AC / CTO Ward"
RJZ002,RJC177,RJ658,Alwar,Circle-Dausa,Circle-Dausa - Ward-I
